760,0.08952
740,0.090663
720,0.091836
700,0.093056
680,0.094673
660,0.095789
640,0.097412
620,0.098987
600,0.100542
580,0.102258
560,0.103959
540,0.105637
520,0.108299
500,0.109664
480,0.112145
460,0.14406
440,0.117113
420,0.120529
400,0.122582
380,0.127618
360,0.130569
340,0.13445
320,0.138581
300,0.14354
280,0.148651
260,0.154312
240,0.161209
100,0.25834
80,0.291806
60,0.34397
45,0.372402
43,0.377118
40,0.390882
39,0.395575
38,0.400259
37,0.4144
36.5,0.417992
36,0.419366
35,0.4262
30,0.460174
25,0.5000217
20,0.550132
15,0.634306
10,0.765105
5,1.043
4,1.18
3,1.304425
2.4,1.466425
1.5,1.709
